Title:,"Time Series, Area-Averaged of 10-meter eastward wind monthly 0.5 x 0.625 deg. [MERRA-2 Reanalysis (monthly)"
User Start Date:,2016-01-01T00:00:00Z
User End Date:,2024-12-31T23:59:59Z
User Bounding Box:,"-108.237,27.6681,-104.8752,31.821"
Data Bounding Box:,"-108.125,28,-105,31.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2016-01-01T00:00:00Z&endtime=2024-12-31T23:59:59Z&bbox=-108.237,27.6681,-104.8752,31.821&data=NCALDAS_NOAH0125_D_2_0_Tair_f_min%2CNCALDAS_NOAH0125_D_2_0_Tair_f_max%2CNLDAS_FORA0125_H_2_0_Rainf%2CM2TMNXSLV_5_12_4_U10M%2CM2TMNXSLV_5_12_4_V10M&portal=GIOVANNI&format=json"
Fill Value (M2TMNXSLV_5_12_4_U10M):, 1000000000000000

time, M2TMNXSLV_5_12_4_U10M
2016-01-01 00:00:00,1.68050575
2016-02-01 00:00:00,0.932046056
2016-03-01 00:00:00,2.5376091
2016-04-01 00:00:00,2.26485705
2016-05-01 00:00:00,2.11989665
2016-06-01 00:00:00,-0.281906635
2016-07-01 00:00:00,-0.0291677658
2016-08-01 00:00:00,-0.82147944
2016-09-01 00:00:00,-0.726542413
2016-10-01 00:00:00,-0.0394807085
2016-11-01 00:00:00,-0.0335719287
2016-12-01 00:00:00,1.15206409
2017-01-01 00:00:00,2.52436757
2017-02-01 00:00:00,2.1683681
2017-03-01 00:00:00,1.76538992
2017-04-01 00:00:00,2.76220989
2017-05-01 00:00:00,1.56885779
2017-06-01 00:00:00,0.29281652
2017-07-01 00:00:00,-0.785566032
2017-08-01 00:00:00,-0.995072901
2017-09-01 00:00:00,-0.540278852
2017-10-01 00:00:00,-0.000524120114
2017-11-01 00:00:00,0.685577273
2017-12-01 00:00:00,0.596410692
2018-01-01 00:00:00,0.16281803
2018-02-01 00:00:00,2.66719365
2018-03-01 00:00:00,2.20720673
2018-04-01 00:00:00,2.05487728
2018-05-01 00:00:00,2.06113768
2018-06-01 00:00:00,0.584373772
2018-07-01 00:00:00,-1.20179856
2018-08-01 00:00:00,-0.225988925
2018-09-01 00:00:00,-1.04700577
2018-10-01 00:00:00,0.204738483
2018-11-01 00:00:00,0.875507176
2018-12-01 00:00:00,1.53672707
2019-01-01 00:00:00,1.03258729
2019-02-01 00:00:00,3.09468555
2019-03-01 00:00:00,1.11846483
2019-04-01 00:00:00,2.97064948
2019-05-01 00:00:00,3.0702312
2019-06-01 00:00:00,1.00088048
2019-07-01 00:00:00,-0.242344543
2019-08-01 00:00:00,0.338095099
2019-09-01 00:00:00,-0.354427546
2019-10-01 00:00:00,0.729021192
2019-11-01 00:00:00,0.903184831
2019-12-01 00:00:00,1.25450885
2020-01-01 00:00:00,1.5412662
2020-02-01 00:00:00,1.56979358
2020-03-01 00:00:00,2.49400425
2020-04-01 00:00:00,3.29831338
2020-05-01 00:00:00,1.43484497
2020-06-01 00:00:00,0.739521027
2020-07-01 00:00:00,-0.466887742
2020-08-01 00:00:00,-0.939705491
2020-09-01 00:00:00,-1.1896646
2020-10-01 00:00:00,0.453601658
2020-11-01 00:00:00,0.265641242
2020-12-01 00:00:00,0.843853593
2021-01-01 00:00:00,1.37365818
2021-02-01 00:00:00,2.70540142
2021-03-01 00:00:00,2.61304736
2021-04-01 00:00:00,1.99884105
2021-05-01 00:00:00,2.22941399
2021-06-01 00:00:00,-0.107060596
2021-07-01 00:00:00,-1.13085043
2021-08-01 00:00:00,-0.848653495
2021-09-01 00:00:00,-0.410485923
2021-10-01 00:00:00,1.1030407
2021-11-01 00:00:00,0.05286365
2021-12-01 00:00:00,2.5361073
2022-01-01 00:00:00,1.00985312
2022-02-01 00:00:00,1.01680565
2022-03-01 00:00:00,2.4733901
2022-04-01 00:00:00,2.77215981
2022-05-01 00:00:00,3.13563609
2022-06-01 00:00:00,-0.00247028051
2022-07-01 00:00:00,-0.56890732
2022-08-01 00:00:00,-1.00905633
2022-09-01 00:00:00,-1.65551543
2022-10-01 00:00:00,0.119541518
2022-11-01 00:00:00,1.01218343
2022-12-01 00:00:00,1.92227566
2023-01-01 00:00:00,2.70188046
2023-02-01 00:00:00,2.30759192
2023-03-01 00:00:00,3.22575045
2023-04-01 00:00:00,2.14473724
2023-05-01 00:00:00,1.86866224
2023-06-01 00:00:00,2.22743511
2023-07-01 00:00:00,-1.04599345
2023-08-01 00:00:00,-0.922980011
2023-09-01 00:00:00,0.156914443
2023-10-01 00:00:00,-0.0923922807
2023-11-01 00:00:00,0.291782945
2023-12-01 00:00:00,0.99215138
2024-01-01 00:00:00,2.54461193
2024-02-01 00:00:00,2.68990207
2024-03-01 00:00:00,3.03011703
2024-04-01 00:00:00,2.79960394
2024-05-01 00:00:00,4.13483
2024-06-01 00:00:00,0.591236293
2024-07-01 00:00:00,-1.05054784
2024-08-01 00:00:00,-0.716746032
2024-09-01 00:00:00,-1.33414376
2024-10-01 00:00:00,-0.525695801
2024-11-01 00:00:00,1.86602604
2024-12-01 00:00:00,1.13305938
