Title:,"Time Series, Area-Averaged of 10-meter northward wind monthly 0.5 x 0.625 deg. [MERRA-2 Reanalysis (monthly)"
User Start Date:,2016-01-01T00:00:00Z
User End Date:,2024-12-31T23:59:59Z
User Bounding Box:,"-108.237,27.6681,-104.8752,31.821"
Data Bounding Box:,"-108.125,28,-105,31.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2016-01-01T00:00:00Z&endtime=2024-12-31T23:59:59Z&bbox=-108.237,27.6681,-104.8752,31.821&data=NCALDAS_NOAH0125_D_2_0_Tair_f_min%2CNCALDAS_NOAH0125_D_2_0_Tair_f_max%2CNLDAS_FORA0125_H_2_0_Rainf%2CM2TMNXSLV_5_12_4_U10M%2CM2TMNXSLV_5_12_4_V10M&portal=GIOVANNI&format=json"
Fill Value (M2TMNXSLV_5_12_4_V10M):, 1000000000000000

time, M2TMNXSLV_5_12_4_V10M
2016-01-01 00:00:00,0.198300764
2016-02-01 00:00:00,0.129725903
2016-03-01 00:00:00,0.158717975
2016-04-01 00:00:00,0.589681983
2016-05-01 00:00:00,1.29728913
2016-06-01 00:00:00,0.147918865
2016-07-01 00:00:00,0.0519676432
2016-08-01 00:00:00,0.361480564
2016-09-01 00:00:00,0.863425076
2016-10-01 00:00:00,0.482293606
2016-11-01 00:00:00,0.789617658
2016-12-01 00:00:00,0.892501235
2017-01-01 00:00:00,0.668639541
2017-02-01 00:00:00,0.442239463
2017-03-01 00:00:00,0.429164141
2017-04-01 00:00:00,-0.0496822484
2017-05-01 00:00:00,0.722040951
2017-06-01 00:00:00,-0.18990615
2017-07-01 00:00:00,0.724235952
2017-08-01 00:00:00,0.378207624
2017-09-01 00:00:00,0.979282141
2017-10-01 00:00:00,0.800484836
2017-11-01 00:00:00,0.296834677
2017-12-01 00:00:00,0.514308572
2018-01-01 00:00:00,0.480749696
2018-02-01 00:00:00,1.12395728
2018-03-01 00:00:00,0.475685358
2018-04-01 00:00:00,0.491371244
2018-05-01 00:00:00,0.813801169
2018-06-01 00:00:00,0.221342936
2018-07-01 00:00:00,0.391414791
2018-08-01 00:00:00,0.574591279
2018-09-01 00:00:00,0.230289996
2018-10-01 00:00:00,0.92674154
2018-11-01 00:00:00,0.308049858
2018-12-01 00:00:00,0.288203776
2019-01-01 00:00:00,0.425501764
2019-02-01 00:00:00,1.20318329
2019-03-01 00:00:00,0.983049512
2019-04-01 00:00:00,0.234695494
2019-05-01 00:00:00,0.89120698
2019-06-01 00:00:00,0.587385237
2019-07-01 00:00:00,0.446566254
2019-08-01 00:00:00,-0.0563386939
2019-09-01 00:00:00,1.06729662
2019-10-01 00:00:00,0.414604008
2019-11-01 00:00:00,1.08306038
2019-12-01 00:00:00,0.654071033
2020-01-01 00:00:00,0.262189835
2020-02-01 00:00:00,0.620806873
2020-03-01 00:00:00,1.37930751
2020-04-01 00:00:00,0.350517601
2020-05-01 00:00:00,0.35242939
2020-06-01 00:00:00,0.654559255
2020-07-01 00:00:00,0.14717257
2020-08-01 00:00:00,0.411950797
2020-09-01 00:00:00,0.120820925
2020-10-01 00:00:00,0.484867781
2020-11-01 00:00:00,1.15859771
2020-12-01 00:00:00,0.144644693
2021-01-01 00:00:00,0.479703486
2021-02-01 00:00:00,0.436957031
2021-03-01 00:00:00,1.09038162
2021-04-01 00:00:00,0.448144943
2021-05-01 00:00:00,0.94645381
2021-06-01 00:00:00,0.239513129
2021-07-01 00:00:00,0.450727344
2021-08-01 00:00:00,0.812456906
2021-09-01 00:00:00,0.520275831
2021-10-01 00:00:00,0.80560106
2021-11-01 00:00:00,0.222087085
2021-12-01 00:00:00,1.03762245
2022-01-01 00:00:00,0.273182631
2022-02-01 00:00:00,0.890760958
2022-03-01 00:00:00,0.422858924
2022-04-01 00:00:00,0.309827179
2022-05-01 00:00:00,0.386074901
2022-06-01 00:00:00,0.440407842
2022-07-01 00:00:00,0.421540678
2022-08-01 00:00:00,0.101547644
2022-09-01 00:00:00,1.02307928
2022-10-01 00:00:00,0.674066305
2022-11-01 00:00:00,0.665840566
2022-12-01 00:00:00,0.620467067
2023-01-01 00:00:00,0.993542314
2023-02-01 00:00:00,1.33117557
2023-03-01 00:00:00,0.630535305
2023-04-01 00:00:00,0.459926128
2023-05-01 00:00:00,0.82886225
2023-06-01 00:00:00,0.287034065
2023-07-01 00:00:00,0.687817931
2023-08-01 00:00:00,0.492170513
2023-09-01 00:00:00,0.350815326
2023-10-01 00:00:00,0.986193836
2023-11-01 00:00:00,0.671790659
2023-12-01 00:00:00,0.456458062
2024-01-01 00:00:00,0.498681903
2024-02-01 00:00:00,0.716915131
2024-03-01 00:00:00,0.958475053
2024-04-01 00:00:00,0.90244329
2024-05-01 00:00:00,0.241285965
2024-06-01 00:00:00,0.481953532
2024-07-01 00:00:00,0.389859587
2024-08-01 00:00:00,0.751155019
2024-09-01 00:00:00,0.571195483
2024-10-01 00:00:00,1.53747523
2024-11-01 00:00:00,0.75711751
2024-12-01 00:00:00,0.449064404
